group,value,index
CK,0.287177023,Shannon
CK,0.214591094,Shannon
CK,0.032961927,Shannon
CK,0.529983831,Shannon
CK,0.050384423,Shannon
CK,0.11059671,Shannon
MCFAs,0.156001788,Shannon
MCFAs,0.035913641,Shannon
MCFAs,0.049086557,Shannon
MCFAs,0.182190423,Shannon
MCFAs,0.138101017,Shannon
MCFAs,0.096419851,Shannon
EP,0.221874633,Shannon
EP,0.322128331,Shannon
EP,0.135433987,Shannon
EP,0.090941924,Shannon
EP,0.222544678,Shannon
EP,0.112350895,Shannon
CK,0.143439239,Simpson
CK,0.09614569,Simpson
CK,0.010189012,Simpson
CK,0.232983211,Simpson
CK,0.013910552,Simpson
CK,0.038255238,Simpson
MCFAs,0.068317491,Simpson
MCFAs,0.009237533,Simpson
MCFAs,0.016709272,Simpson
MCFAs,0.083096786,Simpson
MCFAs,0.057466243,Simpson
MCFAs,0.035515023,Simpson
EP,0.097315167,Simpson
EP,0.154995629,Simpson
EP,0.052882388,Simpson
EP,0.030749853,Simpson
EP,0.104766952,Simpson
EP,0.037439516,Simpson
CK,11,Chao
CK,10,Chao
CK,6,Chao
CK,9,Chao
CK,11,Chao
CK,9,Chao
MCFAs,7,Chao
MCFAs,11,Chao
MCFAs,4,Chao
MCFAs,4,Chao
MCFAs,8,Chao
MCFAs,7,Chao
EP,4,Chao
EP,9,Chao
EP,7,Chao
EP,4,Chao
EP,3,Chao
EP,13,Chao
CK,0.083012776,Pielou
CK,0.064598356,Pielou
CK,0.012751414,Pielou
CK,0.167191284,Pielou
CK,0.014564365,Pielou
CK,0.034889378,Pielou
MCFAs,0.055568958,Pielou
MCFAs,0.01038137,Pielou
MCFAs,0.024543278,Pielou
MCFAs,0.091095211,Pielou
MCFAs,0.046033672,Pielou
MCFAs,0.034345444,Pielou
EP,0.110937317,Pielou
EP,0.101620174,Pielou
EP,0.04824256,Pielou
EP,0.045470962,Pielou
EP,0.140410059,Pielou
EP,0.030361498,Pielou
